Year,Vulnerability Rating
1991,1.7071142475681884
1992,0.7360671371352253
1993,1.8203318710661887
1994,1.5357619683387411
1995,1.5113484646194926
1996,2.1218004958992944
1997,2.4739652870494027
1998,2.0772458516116687
1999,2.296967385084879
2000,2.5876406637421323
2001,2.571619301926375
2002,3.131909212283045
2003,2.764254241293973
2004,2.730003553892022
2005,3.252751474225991
2006,3.15550893254498
2007,3.3401857705210243
2008,2.6865662152711565
2009,2.166583444100871
2010,2.8989116907956722
2011,2.7206919682783606
2012,1
2013,1.0009086341885032
2014,1.0018172683770061
2015,1.0
2016,1.1390210308409763
