Year,Vulnerability Rating
1991,2.347358382605376
1992,2.0171657448025937
1993,2.5756246423803155
1994,2.0476826244516477
1995,2.4688155636086218
1996,13.918291054739653
1997,13.941483883272937
1998,18.279610909784473
1999,24.475681861529658
2000,14.003127980164031
2001,7.816364676711805
2002,14.103630237141589
2003,23.095997583540992
2004,23.013577436177584
2005,18.748534511087414
2006,3.3818424566088137
2007,13.428717574804061
2008,13.168805906360197
2009,3.235947648896424
2010,4.16841502956323
2011,18.771588445682987
2012,11
2013,1.0003671240174496
2014,21.000489498689934
2015,6.038425647159728
2016,1.0019579947597315
