Year,Vulnerability Rating
1991,0.4020598893763098
1992,0.5355712378409293
1993,0.37739207832665705
1994,0.16173946213999651
1995,0.4089261872973498
1996,1.421132939156974
1997,1.0785809650963212
1998,1.1989700553118445
1999,1.062559603280564
2000,1.232691207324052
2001,1.0
2002,1.4302880030516911
2003,2.088465397330685
2004,1.5186591543286037
2005,1.216447961687284
2006,1.438191041942682
2007,1.5098164877265732
2008,1.5837908928574307
2009,3.4365151524113435
2010,1.6415307894758475
2011,1.3511413198157203
2012,1.0013884760978302
2013,1.001006142099877
2014,1.0042821407770766
2015,4.175151042244595
2016,3.1267831707199734
