Year,Vulnerability Rating
1991,3.669146163138154
1992,3.381270265115391
1993,3.1732468688410003
1994,3.5740352215652633
1995,3.715175789942144
1996,4.692542437535764
1997,4.4293343505626535
1998,14.899802911818934
1999,34.32227096446055
2000,4.539703731960076
2001,4.2080869731070045
2002,9.538177887977621
2003,19.447898785682497
2004,5.527045743684647
2005,34.797825672325004
2006,5.075415571393082
2007,14.954412991753191
2008,26.285937758990563
2009,8.810055032293569
2010,14.396391240773756
2011,15.009052236402209
2012,23.667855119789404
2013,1.0076360889895928
2014,5.946519609476526
2015,11
2016,1
